영단어,한국단어
Upper Bridge Deck,상부선교갑판
Upper Deck,상갑판(上甲板)
Upper Turn of Bilge,외판만곡부상단
Upper-tween Decks,상층갑판공간
Uppermost Cotinuous Deck,최상전통갑판
Upset Welding,업셋용접
Upsetting Moment,전복모멘트
Upside Down,반전(反轉)
Upstream,상류(上流)
Uptake,연돌(煙突)
Upward Trend,상승 추세(上昇趨勢)
Urinal,소변기(小便器)
Usability Test,사용성능 시험
Use Overtime or Shift Working,잔업 또는 교대근무 활용
User Centered Design (UCD),사용자 중심 설계
User interface design,사용자 인터페이스 설계
Utility and Electrical Service,공무 지원(工務支援)
V Belt Drive,브이벨트구동
VACUUM CIRCUIT BREAKER,진공 차단기
VACUUM ELECTRIC FURNACE,진공 전기로
VACUUM INTERRUPTER,진공 인터럽터
VACUUM LOADBREAKER SWITCH,진공 개폐기
VACUUM PRESSURE IMPREGNATION,진공 주입 ( 함침 )
VACUUM TUBE VOLT METER,진공관 전압계
VALUE ADDED NETWORK,부가가치 통신망
VALUE ADDED TAX,부가 가치세
VALUE ANALYSIS,가치 분석
VALUE ENGINEERING,가치 공학
VAPOR PHASE INHIBITOR,기화성방청제
VARIABLE FREQUENCY OSCILLATOR,가변 주파수 발진기
VARIABLE VOLTAGE VARIABLE FREQUENCY,가변 전압 가변 주파수
VCG (Vertical Center of Gravity),수직 중심(垂直重心)
VCI (Volatile Corrosion Inhibitor),기화성 부식억제제
VDE (Verband Deutscher Elektrotechniker),독일전기공학회
VDES,VHF 데이터 교환 시스템
VDR,항해자료기록장치
VDU (Visual Display Unit),영상지시장치
VEILING GLARE,광막 글레어
VEILING LUMINANCE,광막휘도
VEILING REFLECTION,광막반사
VENDOR DEVIATION,사양불일치승인요청서
VENDOR DEVIATION REQUEST,사양불일치승인요청서
"VENTILATION, VENTILATOR","통풍, 통풍기"
VERBAND DEUTSHER ELECTROTECHNIKER,독일 전기 기자협회
VERIFICATION,확인 ( 검증)
VERTICAL,수직
VERTICAL CENTER OF BUOYANCY ABOVE BASE LINE,부력 중심의 종방향 높이
VERTICAL CENTER OF GRAVITY,무게중심의 수직방향 높이
VERTICAL CENTER OF GRAVITY ABOVE BASE LINE,선체무게 중심의 종방향 높이
VERTICAL DOWNWARD,수직 하진
VERTICAL LADDER,수직 사다리
VERTICAL POSITION,수직 자세
VERTICAL POSITION WELDING,수직 자세 용접
VERTICAL PRISMATIC COEFFICIENT,연직주형 계수
VERTICAL UPWARD,수직 상진
VERY HIGH FREQUENCY,초단파
VERY LARGE BULK CARRIER,대형 BULK 운송선
VERY LARGE CRUDE OIL CARRIER,"175,000DWT 이상 30만DWT 이하의 대형 TANKER"
VESSEL OPERATION COMMON CARRIER,COMMON CARRIER로서 자신이 직접 선박을 보유하고 있는 운송인
VESTIGIAL SIDE BAND,잔류 측파대
VGFSP,자발적 기국이행 지침
VGM,컨테이너 총중량 검증제도
VHF (Very High Frequency),초단파(超短波)
VHF Radio,초단파대역 무선통신장비
VICKERS HARDNESS,비커스 경도
VIDEO RESPONSE SYSTEM,화상 응답 시스템
VIMSAS,자발적 회원국감사
VISIBLE RADIATION,가시 방사
VISUAL DISPLAY TERMINAL,영상 표시 단말장치
VISUAL FLUORESCENT DISPLAY,가시형광 표시장치
VISUAL INSPECTION,용접외관검사
VISUAL TEST,육안검사
VIT (Variable Injection Timing),가변분사시기 조정
VLBC(Very Large Bulk Carrier),초대형 살물선 (１８０－２００Ｋ）)
VLCC(Very Large Crude Oil Carrier),초대형 원유 운반선 (１７５－３００Ｋ）)
VLOC (Very Large Ore Carrier),초대형광석운반선
VMS,선박 모니터링 시스템
VMS (Voyage Management System),항해종합관리시스템
VOC (Volatile Organic Compounds),휘발성 유기물질
VOLTAGE,공칭 전압
VOLTAGE CONTROLLED OSCILLATOR,전압제어 발진기
VOLTAGE FREQUENCY CONVERTER,전압 주파수 변환기
VOLTAGE STANDING WAVE RATIO,전압 정재파비
VOLTS ALTERNATING CURRENT,교류 전압
VOLUME UNIT,음량 단위
VRC (Valve Remote Control),원격제어 밸브
VTS,해상교통관제시스템
Vacuum,진공
Vacuum Box,진공누설시험 지그
Vacuum Breaker,진공차단기
Vacuum Circuit Breaker,진공 차단기
Vacuum Cleaner,진공 소제기
Vacuum Distillation,감압증류(減壓蒸溜)
Vacuum Electric Furnace,진공 전기로
Vacuum Gauge,진공계
Vacuum Interrupter,진공 인터럽터
Vacuum Loadbreaker Switch,진공 개폐기
Vacuum Pressure,진공 주입 ( 함침 )
Vacuum Pump,진공 펌프
Vacuum Test,진공 시험(眞空試驗)
Vacuum Tube Volt Meter,진공관 전압계
Value Added Network,부가가치 통신망
Value Analysis,가치 분석(價値分析)
Value Engineering,가치공학(價値工學)
Valve List,밸브 목록표
Valve Spindle Spnner,밸브스패너
Valve Sticking,밸브용화
Vanish,바니시
Vapor Lock,베이퍼록
Vaporizing Chamber,증발실(蒸發室)
Vapour Lock,증기폐색(蒸氣閉塞)
Variable Frequency,가변 주파수 발진기
Variable Pitch Propeller,불균일피치프로펠러
Variable Speed,가변속도(可變速度)
Variable Voltage Variable,가변 전압 가변 주파수
Variable Voltage Welding Machine,가변전압용접기
Varnish,와니스 (니스)
Vedette Boat,함재초계정
Vegetable Chamber,채소창고
Vehicle-carring Ship,차량운반선
Veiling glare,광막 글레어
Veiling luminance,광막휘도
Veiling reflection,광막반사
Vendor Drawing (V/D),제작자도면
Vendor Guarantee,제조회사 보증
Vendor Information,제조업체 정보
Vendor Lead Time,제조업체 소요기간
Venecian Door,베니션도어
Veneer,베니어
Veneer Board,베니어판
Vent (Hole),통기구멍
Vent Pipe,벤트관
Ventilating Flap,통풍플랩
Ventilation Flap,통풍 플랩
Ventilation Plan,통풍관배치도
Ventilation Trunk,통풍트렁크
Ventilator,통풍통(通風筒)
Verband Deutsher,독일 전기 기자협회
Vernier Caliper,부척(副尺) 캘리퍼
Vertical (Position) Welding,직립용접
Vertical Boiler,직립형보일러
Vertical Coupling,수직연결
Vertical Downhand Welding,수직 하향용접
Vertical Engine,직립기관
Vertical Keel,버티컬킬
Vertical Ladder (V/L),수직 사다리
Vertical Position,수직자세
Vertical Prismatic Coefficient,연직주형(비척)계수
Vertical Section,수직 단면(垂直斷面)
Vertical Stiffener,수직방요(垂直防搖)재
Vertical Web,연직(鉛直) 웨브
Vertical Welding,수직 용접(垂直熔接)
Very High Frequency,초단파
Vestigial Side Band,잔류 측파대
Vetilation Cock,통풍콕
Vhuck,척
Viable organisms,생존생물
Vibration,진동
Vibration Absorber,흡진기
Vibration Damper,진동감쇠장치
Vibration Level,진동레벨
Vibrator,진동기
Vice Admiral,해군중장
Victualler,식량수송선
Video Response System,화상 응답 시스템
Vimration Feeder,진동피더
Vinyl Tile,비닐 타일
Virtual Reality,가상현실(假想現實)
Virtual Work,가상적(假想的) 일
Viscometer,점도계(粘度計)
Viscosimeter,점도계
Viscosity,점도
Viscosity Controller,점도조절(粘度調節)기
Viscous Pressure Resistance,점성압력저항
Viscous Resistance,점성저항
Visibility,가시도(可視度)
Visible Air Whistle,발연기적
Visible radiation,가시 방사
Visual Display Terminal,영상 표시 단말장치
Visual Fluorescent Display,가시형광 표시장치
Visual Inspection,육안 검사(肉眼檢査)
Visual Inspection : VI or Appearance Test : AT,육안검사
Vital Points,주요한 점，핵심
Voice Tube,전성관(傳聲管)
Void Space,보이드 스페이스
Volatile Organic Compounds (VOCs),휘발성유기화합물
Volatile Solvent,휘발성 용매제
Voltage,공칭 전압
Voltage Controlled,전압제어 발진기
Voltage Drop,전압강하(電壓降下)
Voltage Frequency,전압 주파수 변환기
Voltage Reducing Device,전격방지장치
Voltage Regulator,전압 조정기
Voltage Standing Wave Ratio,전압 정재파비
Volts Alternating Current,교류 전압
Volume Unit,음량 단위
Volumetric Efficiency,용적 효율(容積效率)
Volumetric Expansion Coefficient,체팽창(體膨脹)계수
Vortex,소용돌이
W-1 (One-man Watch Keeping),항해선교 자동화부호(DNV)
WAEE,WAEE
WALL & CEILING,선체도장 구역 구분시 사용
WATER BALLAST TANK,발라스트 탱크
WATER CLOSET,수세식 화장실
WATER LEVEL DETECTORS,수위 감지기
WATER PLANT COEFFICIENT,수선면적 계수
WATER SCUPPER,물 배수구
WATER TIGHT,수밀
WATER TIGHT BULKHEAD,수밀 격벽
WATER TIGHT OR WEATHER TIGHT,수밀(혹은 풍우밀)
WATERTIGHT,수밀성
WAVELENGTH DIVISION MULTIPLEXING,파장 다중 분할
WBT (Water Ballast Tank),발라스트 탱크
WCA Code of Conduct,서·중앙아프리카 행동강령
WEIGHT,"무게, 하중"
WEIGHT & CENTER OF,무게및무게중심
WEIGHT & CENTER OF GRAVITY,무게및무게중심
WELD PROCEDURE,용접절차사양서
WELD PROCEDURE SPECIFICATION,용접절차사양서
WELDER QUALFIFICATION TEST,용접사 자격시험
WELDER QUALIFICATION,용접자격시험
WELDER QUALIFICATION TEST,용접자격시험
WELDING,용접
WELDING PROCEDURE QUALIFICATION TEST,용접법 승인시험
WELDING PROCEDURE SPECIFICATION,용접시공 절차서
WELDING RESEARCH COUNCIL,용접 연구 평의회
WET BULB,습구 온도계(WET BULB THERMOMETER)
WET FILM THICKNESS(μ),젖은 도막 두께 (↔ DFT )
WFT (Wet Film Thickness),습도막(濕塗膜)
WHEEL HOUSE,조타실
WHO (World Health Organization),세계 보건기구
WIDE ADDED NETWORK,광역 통신망
WIDE AREA NETWORK,원거리 통신망
WIG (Wing in Ground),위그선
WIG (Wing in Ground-Effect) Ship,해면효과익선
WINDAGE LOSS,풍손
WINDING,몰드 변압기 권선
WIPO,세계지식재산기구
WITH AVERAGE,단독 해손 담보
WMU,세계해사대학
WMUWA,세계해사대학 여성협회
WOMESA,동남아프리카 해사 여성협회
WORK COMMENCEMENT,착공
WORK ORDER,작업지시서
WORKING HOLE,작업용 구멍
WORKING PRESS,작동 압력
WORLD TRADE ORGANIZATION,세계 무역 기구
WOUND CORE,권철심
WOUND CORE TRANSFORMER,권철심 변압기
WOUND ROTOR,권선형 회전자
WOUNDROTOR INDUCTION MOTOR,권선형 유도전동기
WPS (Welding Procedure Specification),용접시공 절차서
WRC,세계전파통신회의
WSD (Work Sequence Diagram),단계별 공사요령서（의장공사）
WWNWS,전 세계 항행경보 서비스
Wage Rate,임율(賃率)
Wagon Deck,차량갑판
Waist Deck,중앙부갑판
Waiting Time,작업대기시간
Wake,후류
Wake Equalizing Duct,프로펠라측 덕트
Walkie-Talkie,워어키 토오키
Walkway during Construction,건조중(建造中) 통로
Wall Crane,벽붙이 크레인
War Ship,군함
Wardrobe,옷장
Warehouse,창고(倉庫)
Warning Light,경계등
Warship,군함(軍艦)
Wash Basin,세면기(洗面器)
Wash Bulkhead,물막이격벽
Waste Heat,폐열(廢熱)
Waste Heat Boiler,폐열보일러
Waste Heat Recovery System,폐열회수시스템
Waste Heat Recovery System (WHRS),선박 폐열 회수장치
Waste Oil Tank (W.O. Tk),폐유(廢油)탱크
Waste Oil Treating Device,폐유처리장치
Water Boat,급수선
Water Closet (W.C),화장실(化粧室)，변소
Water Content,수분 함량(水分含量)
Water Cooling,수냉
Water Hammering,수격작용(水擊作用)
Water Jacket,물재킷
Water Line,수선(水線)
Water Meter,수량계
Water Plane,수선면(水線面)
Water Pollution,수질 오염(水質汚染)
Water Proof,방수
Water Softner,연수장치
Water Spray Pump,물분무펌프
Water Supply Test,통수시험
Water Trap,드레인 트랩
Waterjet,물분사
Waterjet Propulsion,워터제트 추진
Waterjet Ship,물분사선
Waterline Length,수선길이
Waterplane,수선면
Waterplane Area,수선면적
Waterproof,방수(防水)
Watertight,수밀
Watertight Bulkhead,수밀격벽
Watertight Bulkhead (W.T Bhd),수밀 격벽(水密隔壁)
Watertight Compartment,수밀 구획(水密區劃)
Watertight Floor,수밀늑판
Watertight Test,수밀 시험(水密試驗)
Watt-Hour Meter,적산전력계
Wattmeter,전력계
Wave,파
Wave Crest,파정
Wave Frequency,파진동수
Wave Height,파고
Wave Length,파장
Wave Making Resistance,조파 저항(造波低抗)
Wave Period,파도주기
Wave Shearing Force,파전단력
Wave Steepness Ratio,파기울기
Wavelength Division,파장 다중 분할
Wax Pattern,밀본
Waybill,운송장
Wear Respirator,마스크 착용
Wear and Tear,쇠모(마모)
Weardown,마모(磨耗)
Weather Adjustment,천후조정
Weather Effect,일기 영향(日氣影響)
Weather Forecast,일기 예보(日氣豫報)
Weather Tight,풍우밀
Weather Tight Door,풍우밀문
Web Frame,특설 늑골(特設肋骨)
Wedge,쐐기
Weekday,평일 (平日)
Weight Curve,중량곡선
Weight Estimation,중량추정
Weight on Board,적재중량
Weighted Average Method,가중평균(加重平均)법
Weighted Index Number,가중 지수(加重指數)
Weighted Mean,가중 평균(加重平均)
Weld Condition,용접 조건(熔接條件)
Weld Defects,용접 결함(熔接缺陷)
Weld End,용접 끝단부
Weld Geometry,용접 형상(熔接形象)
Weld Length,용접길이
Weld Metal,용접금속
Weld Penetration,용입
Weld Size,용접 치수
Weld Zone,용접부
Weldability,용접성
Weldabiltiy,용접성(熔接性)
Welded Construction,용접 구조(熔接構造)
Welded Joint,용접이음
Welder Performance Test,용접사 기량시험
Welder's Qualification Test,용접사 자격시험
Welding Arc Voltage,용접 아크전압
Welding Current,용접 전류(熔接電流)
Welding Dissimilar Metals,이종금속의 용접
Welding Distortion,용접변형
Welding Flux,용접용 플럭스
Welding Head,용접헤드
Welding Machine,용접기
Welding Material,용접재료
Welding Metallurgy,용접 금속학
Welding Pass Sequence,용접순서(熔接順序)
Welding Position,용접자세(熔接姿勢)
Welding Procedure,용접 시공법
Welding Procedure Qualification Test,용접법 승인시험
Welding Procedure Test,용접시공시험
Welding Process,용접법
Welding Reinforcement,용접덧붙임
Welding Rod,용접봉(熔接棒)
Welding Sequence,용접 순서/방법
Welding Shrinkage,용접 수축(熔接收縮)
Welding Stress,용접응력
Welding Symbols,용접 기호(熔接記號)
Welding Table,용접대
Welding Throat,용접각목(熔接脚目)
Welding Tip,용접구멍
Welding Torch,용접 토오치
Welding Transformer,용접변압기
Welding Wire,용접용 와이어
Weldolet,용접식 돌기물
Welfare Provisions,복리 후생(福利厚生)
Well Deck,웰갑판
Wet Dock,계류 독
Wet Provision,부식(냉동/냉장요)
Wet Steam,습증기(濕蒸氣)
Wether Deck,노천갑판
Wether Ladder,노천사다리
Wetted Surface Area,침수 면적(沈水面積)
Whale Back Vessel,경배선
Whale Mother Ship,포경모선
Whale Scouting Vessel,탐경선
Whale Winch,포경윈치
Wharf Crane,안벽 크레인
Wharfage,부두 사용(료)
Wharfinger,부두관리인
Wheelhouse (W/H),조타실(操舵室)
Whipping,휘핑
Whirling Vibration,횡진동(橫振動)
Whistle,기적(氣笛)
White Lead Paint,백연페인트
White List,STCW 협약의 완벽한 이행 국가
White Zinc Paint,백색아연페인트
Wide Added Network,광역 통신망
Wide Area Network : WAN,광역통신망
Wide Blade,공폭날개
Widely Spaced Hold Beam,특설창내빔
Wilful misconduct,고의적 불법행위
Winch,윈치
Winch Man,윈치조종수
Winch Platform,윈치프랫폼
Wind Direction,풍향
Wind Tunnel Tedt,풍동시험
Wind-generated Wave,풍랑
Windage Loss,조풍손실
Winding,몰드 변압기 권선
Winding Staires,나선계단
Window Wiper,윈도와이퍼
Wing Bulkhead,현측격벽
Wing Screw Propeller,현측나선프로펠러
Wing Shaft,현측축
Wing Tank,현측(舷測) 탱크
Winter Load Line,동계만재흘수선
Wire Brush,와이어브러시
Wire Feed Motor,와이아 송급 모타
Wire Gauge,와이어게이지
Wire Guy,와이어가이
Wire Reel,와이어릴
Wire Rope,와이어로프
Wireless Control,무선조종
Wireless Room,무중실
Wireless Watcher,무중당직
Wiring,배선
Wiring Diagram,배선도
Withdrawal of Classification,탈급
Wood Deck,목갑판(木甲板)
Wood Lathe,목공선반
Wooden Deck,목갑판
Wooden Ship,목선
Wooden Shipyard,목선조선소
Work Load,작업 부하(作業負荷)
Work Management,작업 관리(作業管理)
Work Measurement,작업 측정(作業測定)
Work Order(W/O),작업지시(서)
Work Programme,작업 프로그램
Work Ratio,일비
Work Station,전문 작업장
Working Drawing,공작도(工作圖)
Working Group,작업반
Working Lamp,작업등(作業燈)
Working Pressure,작동 압력(作動壓力)
Working Space,작업 공간
